model,image_name,case_type,image_iou,gt_area,pred_area,notes
FPN+BiLocal,irstd1k_XDU828,poor_localization,0.0,12,690,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU956,poor_localization,0.0,114,630,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU965,poor_localization,0.0,27,1975,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU971,poor_localization,0.0,12,2355,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU980,poor_localization,0.0,128,312,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU988,poor_localization,0.0,90,2423,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU990,poor_localization,0.0,20,3168,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,nudt_001096,missed_detection,0.0,756,0,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU994,low_iou,0.001953125,6,3072,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiLocal,irstd1k_XDU1000,low_iou,0.0020516327577363653,12,5849,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU828,poor_localization,0.0,12,8061,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU913,poor_localization,0.0,195,46,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU956,poor_localization,0.0,114,319,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU971,poor_localization,0.0,12,1574,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU980,poor_localization,0.0,128,3465,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU988,poor_localization,0.0,90,2483,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU965,low_iou,0.004659188955996549,27,5795,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU990,low_iou,0.006514657980456026,20,598,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU968,low_iou,0.009315718157181572,55,5904,candidate selected by image-level IoU and mask overlap heuristics
FPN+AsymBi,irstd1k_XDU994,low_iou,0.010344827586206896,6,580,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU828,poor_localization,0.0,12,1627,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU980,poor_localization,0.0,128,3112,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU988,poor_localization,0.0,90,4973,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU994,low_iou,0.002156721782890007,6,2782,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU971,low_iou,0.003485424588086185,12,3155,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU965,low_iou,0.005064715813168261,27,5331,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU926,low_iou,0.006574141709276844,9,1369,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU818,low_iou,0.006906758756783424,42,6081,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU956,low_iou,0.007456828885400314,114,2453,candidate selected by image-level IoU and mask overlap heuristics
UNet+AsymBi,irstd1k_XDU936,low_iou,0.007816316560820713,16,2047,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU828,poor_localization,0.0,12,5169,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU971,poor_localization,0.0,12,608,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU980,poor_localization,0.0,128,2890,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU988,poor_localization,0.0,90,4950,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU881,low_iou,0.0022294413656920825,35,15699,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU994,low_iou,0.0032967032967032967,6,1820,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU908,low_iou,0.0034567901234567903,21,6075,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU965,low_iou,0.003754171301446051,27,7192,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU926,low_iou,0.006751687921980495,9,1333,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiGlobal,irstd1k_XDU870,low_iou,0.00866738894907909,24,2769,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU828,poor_localization,0.0,12,4242,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU903,poor_localization,0.0,30,1433,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU956,poor_localization,0.0,114,1201,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU980,poor_localization,0.0,128,3904,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU988,poor_localization,0.0,90,4317,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU990,poor_localization,0.0,20,710,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU994,poor_localization,0.0,6,2080,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU870,low_iou,0.00020024028834601522,24,4971,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU971,low_iou,0.004122011541632316,12,2424,candidate selected by image-level IoU and mask overlap heuristics
FPN+BiGlobal,irstd1k_XDU881,low_iou,0.00560179257362356,35,6248,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU828,poor_localization,0.0,12,224,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU858,poor_localization,0.0,56,74,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU903,poor_localization,0.0,30,322,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU956,poor_localization,0.0,114,192,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU971,poor_localization,0.0,12,228,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU980,poor_localization,0.0,128,42,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU988,poor_localization,0.0,90,2969,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU990,poor_localization,0.0,20,1144,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,nudt_001256,poor_localization,0.0,512,650,candidate selected by image-level IoU and mask overlap heuristics
UNet+BiLocal,irstd1k_XDU994,low_iou,0.0014312977099236641,6,4192,candidate selected by image-level IoU and mask overlap heuristics
